title,NER,ingredients
Fish Stroganoff,"[""sour cream"", ""bacon"", ""pepper"", ""skinless fish"", ""onion"", ""parsley flakes"", ""flour"", ""garlic powder"", ""tomato juice"", ""mustard"", ""salt""]","[""1 1/2 lb. skinless fish fillets"", ""about 1/2 c. flour"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""6 strips bacon"", ""2 Tbsp. chopped onion"", ""1 1/2 c. tomato juice"", ""1 tsp. prepared mustard"", ""1/2 tsp. parsley flakes"", ""1/4 tsp. garlic powder"", ""1/2 c. sour cream""]"
Camper'S Stew,"[""potatoes"", ""crab meat"", ""celery"", ""rotini"", ""carrots"", ""onions"", ""mayonnaise"", ""salad dressing"", ""hamburg"", ""green pepper""]","[""1 lb. hamburg"", ""2 large onions"", ""4 carrots"", ""cut up"", ""4 medium potatoes"", ""cut up"", ""1 lb. rotini or your favorite macaroni"", ""1/4 c. Kraft red French salad dressing (more if too dry)"", ""3/4 c. celery"", ""chopped"", ""1 c. crab meat"", ""shrimp or lobster"", ""3/4 c. green pepper"", ""chopped"", ""3/4 c. mayonnaise""]"
"Spaghetti, Ham And Eggs","[""egg yolks"", ""oil"", ""sweet onion"", ""bacon"", ""parmesan cheese"", ""ham"", ""chicken broth"", ""parsley"", ""thin spaghetti noodles"", ""butter""]","[""1 sweet onion"", ""1/4 lb. bacon"", ""1/4 c. oil"", ""1/2 c. chicken broth"", ""1/2 c. parsley"", ""8 oz. thin spaghetti noodles"", ""1/4 lb. Prosciutto or boiled ham"", ""1/2 c. whipped butter"", ""4 egg yolks"", ""1 c. grated Parmesan cheese""]"
Crescent Wrapped Apricot Gouda,"[""round natural gouda cheese"", ""apricot preserves"", ""crescent rolls""]","[""7 oz. round natural Gouda cheese"", ""8 oz. can crescent rolls"", ""4 tsp. apricot preserves""]"
Rice And Noodle Pilaf,"[""thin egg noodles"", ""water"", ""spry"", ""margarine"", ""rice"", ""chicken bouillon cubes"", ""salt""]","[""1/4 c. margarine"", ""2 Tbsp. Spry"", ""2 c. thin egg noodles"", ""1/2 c. rice"", ""4 chicken bouillon cubes"", ""4 c. water"", ""1 tsp. salt""]"
Yaki Soba,"[""oil"", ""scallions"", ""noodles"", ""fresh spinach"", ""water"", ""pork"", ""shrimp"", ""chicken""]","[""1 pkg. soba noodles"", ""3 or 4 shrimp"", ""1 c. fresh spinach"", ""oil"", ""2 c. scallions"", ""1/3 c. pork"", ""1/4 c. chicken and beef"", ""3/4 c. water""]"
Spinach Casserole(Serves 4 To 6)  ,"[""sour cream"", ""egg"", ""pepper"", ""parmesan cheese"", ""onion"", ""frozen spinach"", ""cheese"", ""milk"", ""salt""]","[""1 (10 oz.) pkg. frozen spinach"", ""1 egg"", ""beaten"", ""1/2 c. sour cream"", ""2 Tbsp. Parmesan cheese"", ""1/4 c. milk"", ""2 Tbsp. cooked onion"", ""1/2 tsp. salt"", ""dash of pepper"", ""2 c. Monterey Jack cheese"", ""shredded"", ""4 oz. cooked spaghetti""]"
Baked Sauerkraut And Pork Chops,"[""green apple"", ""sugar"", ""potato"", ""beer"", ""caraway seed"", ""onion"", ""bay leaves"", ""pork chops"", ""sauerkraut""]","[""1 grated green apple"", ""1 grated onion (medium)"", ""1 grated potato"", ""2 tsp. caraway seed"", ""4 pork chops"", ""1/2 c. sugar"", ""1 c. dark German beer"", ""2 bay leaves"", ""32 oz. jar sauerkraut""]"
Baked Steak,"[""steak"", ""beef broth"", ""flour"", ""pepper sauce"", ""onions"", ""worcestershire sauce"", ""salt""]","[""1 lb. steak"", ""1 can beef broth"", ""1 1/2 tsp. Worcestershire sauce"", ""hot pepper sauce"", ""onions"", ""salt and pepper"", ""flour""]"
Pinto Bean Casserole,"[""mix"", ""hot sauce"", ""onion"", ""corn oil"", ""beans"", ""ground beef"", ""green pepper"", ""tomato sauce""]","[""2 tsp. corn oil or Crisco"", ""1 c. chopped onion"", ""1 c. chopped green pepper"", ""2 lb. ground beef"", ""2 large cans Luck's pinto beans"", ""1 (15 oz.) can tomato sauce"", ""1 tsp. hot sauce (optional)"", ""1 pkg. Jiffy cornbread mix""]"
Savory Stuffed Peppers,"[""black pepper"", ""kernel corn"", ""steak sauce"", ""green peppers"", ""onion"", ""rice"", ""ground beef"", ""tomato sauce""]","[""1 lb. ground beef"", ""1/4 c. chopped onion"", ""10 1/2 oz. can whole kernel corn"", ""drained"", ""8 oz. can tomato sauce"", ""1 c. cooked rice"", ""1/4 c. A.1. steak sauce"", ""1/4 tsp. black pepper"", ""6 large green peppers""]"
Good Meatballs,"[""ground pork"", ""italian bread crumbs"", ""eggs"", ""grated cheese"", ""onion"", ""ground chuck"", ""parsley"", ""milk"", ""garlic"", ""olive oil""]","[""2 lb. ground chuck"", ""1/2 lb. ground pork"", ""2 c. Italian bread crumbs"", ""4 eggs"", ""slightly beaten"", ""1 c. milk"", ""1/2 c. grated cheese"", ""1 Tbsp. olive oil"", ""2 garlic cloves"", ""chopped fine"", ""1 onion"", ""minced"", ""1 c. chopped parsley""]"
Chicken And Broccoli Alfredo,"[""chicken breasts"", ""pepper"", ""parmesan cheese"", ""campbell's cream"", ""milk"", ""linguine"", ""butter""]","[""1/2 package linguine or spaghetti (8 oz.)"", ""1 c. fresh or frozen broccoli flowerets"", ""2 Tbsp. butter"", ""1 lb. boneless chicken breasts"", ""cubed"", ""1 can (10-3/4 oz.) Campbell's cream of mushroom or 98% fat free cream of mushroom soup"", ""1/2 c. milk"", ""1/2 c. grated Parmesan cheese"", ""1/3 tsp. pepper""]"
Memoo'S Tomato Aspic,"[""cabbage"", ""vinegar"", ""lemon gelatin"", ""water"", ""tomato sauce""]","[""1 (3 oz.) pkg. lemon gelatin"", ""1 1/4 c. hot water"", ""1 (8 oz.) can tomato sauce"", ""1 1/2 tsp. vinegar"", ""chopped cabbage"", ""celery"", ""chives"", ""carrots"", ""etc."", ""lettuce""]"
Pizza Margherita,"[""mozzarella cheese"", ""freshly ground pepper"", ""basil"", ""freshly grated parmesan cheese"", ""olive oil"", ""tomato sauce""]","[""1 Tbsp. olive oil"", ""1/2 c. tomato sauce (recipe follows)"", ""2 oz. Mozzarella cheese"", ""sliced 1/8-inch thick"", ""freshly ground pepper to taste"", ""1/2 c. loosely packed fresh basil leaves"", ""1/4 c. freshly grated Parmesan cheese""]"
Chicken Picante,"[""sour cream"", ""chicken breasts"", ""dijon mustard"", ""taco sauce"", ""lime juice"", ""lime"", ""butter""]","[""1/2 c. medium hot chunky taco sauce"", ""1/4 c. Dijon mustard"", ""2 Tbsp. lime juice"", ""6 boneless"", ""skinned chicken breasts"", ""2 Tbsp. butter"", ""6 Tbsp. sour cream"", ""1 lime"", ""sliced""]"
Potato Soup Hash,"[""potatoes"", ""roast"", ""cream of mushroom soup"", ""onion"", ""celery"", ""cream of celery soup"", ""salt""]","[""medium roast"", ""large onion"", ""5 lb. potatoes"", ""1/2 stalk celery"", ""3 cans cream of mushroom soup"", ""1 can cream of celery soup"", ""salt and pepper to taste""]"
Never-Fail Meringue,"[""sugar"", ""vanilla"", ""egg whites"", ""cold water"", ""cornstarch"", ""salt""]","[""1 Tbsp. cornstarch"", ""2 Tbsp. cold water"", ""3 egg whites"", ""1/2 c. sugar"", ""dash of salt"", ""1 tsp. vanilla""]"
Spanish Rice With Turkey,"[""oregano"", ""tomatoes"", ""pepper"", ""red pepper"", ""onion"", ""water"", ""ground turkey"", ""rice"", ""garlic"", ""salt""]","[""1 lb. ground turkey"", ""1 medium pepper"", ""chopped"", ""1 medium onion"", ""chopped"", ""2 cans tomatoes"", ""1 c. water"", ""4 oz. uncooked rice"", ""3/4 tsp. oregano"", ""salt"", ""1/4 tsp. red pepper"", ""1/8 tsp. garlic""]"
Vegetarian Vegetable Soup(Stone Soup)  ,"[""potatoes"", ""pepper"", ""macaroni"", ""string beans"", ""onion"", ""tomato soup"", ""celery"", ""carrots"", ""rice"", ""boiling water"", ""butter"", ""salt""]","[""3/4 c. onion"", ""sliced"", ""2 c. diced potatoes"", ""1 1/2 c. celery"", ""sliced"", ""3 qt. boiling water"", ""1 1/2 c. diced carrots"", ""5 Tbsp. butter"", ""1 1/2 c. string beans and peas"", ""4 tsp. salt"", ""1/4 tsp. pepper"", ""macaroni"", ""broken in small pieces"", ""rice (if desired)"", ""1 can condensed tomato soup""]"
Crock-Pot Brunswick Stew,"[""corn"", ""tomatoes"", ""lemon juice"", ""pork"", ""ground beef"", ""chicken"", ""worcestershire sauce"", ""hot sauce""]","[""1 lb. ground beef"", ""2 cans creamed corn"", ""2 cans stewed tomatoes"", ""2 cans chicken"", ""1/3 c. hot sauce"", ""2 Tbsp. lemon juice"", ""2 Tbsp. Worcestershire sauce"", ""1 can Castleberry barbecue pork""]"
Pasta And Cauliflower Soup,"[""pepper"", ""tomato paste"", ""potato"", ""parmesan cheese"", ""water"", ""cauliflower"", ""garlic"", ""linguine"", ""olive oil"", ""salt""]","[""1 small cauliflower head"", ""1/2 c. olive oil"", ""1 garlic clove"", ""salt to taste"", ""pepper to taste"", ""1 Tbsp. tomato paste"", ""2 1/2 qt. hot water"", ""1 potato"", ""sliced paper thin"", ""2 tsp. salt"", ""1/2 lb. linguine or spaghetti"", ""broken into bits"", ""3 to 4 Tbsp. grated Parmesan cheese""]"
Asparagus Ham Dinner,"[""oregano"", ""tomatoes"", ""fresh parsley"", ""cayenne pepper"", ""sweet red bell peppers"", ""rotini noodles"", ""fresh asparagus"", ""swiss cheese"", ""sweet yellow bell pepper"", ""basil"", ""fully cooked ham"", ""olive oil"", ""salt""]","[""2 c. uncooked rotini noodles"", ""3/4 lb. fresh asparagus"", ""cut into 1 inch pieces"", ""1 medium sweet yellow bell pepper"", ""julienned"", ""2 medium sweet red bell peppers"", ""julienned"", ""1 Tbsp. olive oil"", ""1 c. diced fresh tomatoes"", ""6 oz. fully cooked ham"", ""chopped"", ""1/4 c. minced fresh parsley"", ""1/2 tsp. salt"", ""1/2 tsp. oregano"", ""1/2 tsp. basil"", ""1/8 to 1/4 tsp. cayenne pepper"", ""1/4 c. shredded Parmesan or Swiss cheese""]"
Ground Beef-Noodle Casserole,"[""width noodles"", ""sour cream"", ""salt"", ""onion"", ""cream cheese"", ""cheese"", ""ground beef"", ""green pepper"", ""tomato sauce""]","[""8 oz. cream cheese"", ""1 lb. small curd cottage cheese"", ""1 carton sour cream"", ""1 lb. medium width noodles"", ""1 lb. ground beef"", ""small onion"", ""medium green pepper"", ""1 large can tomato sauce"", ""salt"", ""pepper"", ""garlic and oregano to taste""]"
Easy Cottage Cheese Salad,"[""orange jello"", ""mandarin oranges"", ""pineapple"", ""cottage cheese""]","[""24 oz. small curd cottage cheese"", ""2 small cans mandarin oranges"", ""drained well"", ""2 small cans crushed pineapple"", ""drained well"", ""1 (12 oz.) Cool Whip"", ""1 (3 oz.) orange jello (dry)""]"
Sensational Spud Soup,"[""potatoes"", ""cream of chicken soup"", ""bacon"", ""onion"", ""milk"", ""salt""]","[""12 strips bacon"", ""browned and diced"", ""1 large onion"", ""chopped and sauteed in 3 Tbsp. bacon drippings"", ""6 medium potatoes"", ""diced and boiled until tender (just covered with water to boil)"", ""2 cans cream of chicken soup"", ""2 cans milk"", ""salt"", ""pepper and chopped parsley""]"
Potato Doughnuts,"[""potatoes"", ""sour milk"", ""sugar"", ""baking powder"", ""nutmeg"", ""eggs"", ""soda"", ""flour"", ""butter"", ""salt""]","[""1 c. sugar"", ""3 Tbsp. melted butter"", ""2 eggs"", ""1 c. mashed potatoes (hot"", ""no seasoning)"", ""1 c. sour milk or buttermilk"", ""3 1/4 c. flour"", ""1 tsp. soda"", ""2 tsp. baking powder"", ""1 tsp. nutmeg"", ""1/4 tsp. salt""]"
Vegetarian Lasagna,"[""oil"", ""oregano"", ""tomato paste"", ""lasagna noodles"", ""parmesan cheese"", ""onion"", ""mushrooms"", ""sliced monterey jack cheese"", ""carrots"", ""olives"", ""spinach"", ""cream-style"", ""tomato sauce""]","[""10 lasagna noodles"", ""2 (10 oz. each) pkg. frozen chopped spinach"", ""1/2 c. chopped onion"", ""1 Tbsp. oil"", ""1 c. grated raw carrots"", ""1 1/2 tsp. dried oregano"", ""2 c. cream-style cottage cheese"", ""1 lb. sliced Monterey Jack cheese"", ""2 c. sliced fresh mushrooms"", ""1 (15 oz.) can tomato sauce"", ""1 (6 oz.) can tomato paste"", ""1/2 c. chopped pitted ripe olives"", ""1/3 c. grated Parmesan cheese""]"
Layered Sandwich,"[""head lettuce"", ""tomato"", ""bread"", ""shaved turkey"", ""shaved ham"", ""mozzarella cheese"", ""cheddar cheese"", ""italian salad dressing""]","[""1 large unsliced loaf round bread"", ""3/4 lb. shaved turkey*"", ""3/4 lb. shaved ham*"", ""3/4 lb. shaved pastrami*"", ""1 large tomato"", ""sliced"", ""6 slices Cheddar cheese"", ""6 slices Mozzarella cheese"", ""1/2 head lettuce"", ""shredded"", ""1/3 c. spicy Italian salad dressing""]"
Buffet Cheese-Scalloped Carrots,"[""celery salt"", ""buttered fresh bread crumbs"", ""pepper"", ""cheddar cheese"", ""onion"", ""flour"", ""margarine"", ""carrots"", ""milk"", ""dry mustard"", ""salt""]","[""12 sliced pared medium carrots"", ""1/4 c. margarine"", ""1 small onion"", ""1/4 c. flour"", ""1 tsp. salt"", ""1/4 tsp. dry mustard"", ""2 c. milk"", ""1/8 tsp. pepper"", ""1/4 tsp. celery salt"", ""1/2 lb. sliced sharp Cheddar cheese"", ""3 c. buttered fresh bread crumbs""]"
Canned Okra,"[""canning salt"", ""vinegar"", ""okra"", ""water""]","[""1 gal. chopped okra"", ""1 gal. water"", ""1/2 c. canning salt"", ""1/2 c. vinegar""]"
Turkey Carcass Soup,"[""potatoes"", ""cabbage"", ""green onions"", ""stalks celery"", ""barley"", ""egg noodles"", ""water"", ""coarse ground pepper"", ""turkey carcass"", ""carrots"", ""bay leaf"", ""salt""]","[""1 leftover turkey carcass"", ""4 qt. water"", ""3 stalks celery"", ""diced"", ""4 medium potatoes"", ""diced"", ""4 large carrots"", ""diced"", ""1 1/2 c. cabbage"", ""shredded"", ""1/2 c. green onions"", ""chopped"", ""1/2 c. uncooked barley"", ""1 1/2 c. uncooked egg noodles"", ""1 tsp. salt"", ""1/4 tsp. coarse ground pepper"", ""1 bay leaf""]"
Oatmeal Hurry-Ups,"[""sugar"", ""oats"", ""peanut butter"", ""cocoa"", ""margarine"", ""milk""]","[""3 Tbsp. cocoa"", ""2 c. granulated sugar"", ""1/2 c. milk"", ""1/2 c. margarine"", ""1/2 c. peanut butter"", ""3 c. quick oats"", ""uncooked""]"
Brad'S Pasta Salad,"[""sweet onion"", ""italian dressing"", ""dressing"", ""green peppers"", ""olives"", ""spiral pasta noodles"", ""pepperoni""]","[""2 lb. spiral pasta noodles"", ""1 lb. stick pepperoni"", ""diced in small pieces"", ""8 oz. jar olives"", ""diced"", ""2 green peppers"", ""chopped"", ""1 large sweet onion"", ""chopped"", ""12 oz. Ranch style dressing"", ""4 oz. Italian dressing""]"
Taco Frijoles Para Los Ninos(Bean Taco For The Little Ones)  ,"[""salsa pequin"", ""shredded lettuce"", ""onion"", ""longhorn cheese"", ""pinto beans"", ""chips""]","[""1 pkg. nacho-style chips"", ""cooked pinto beans"", ""shredded lettuce"", ""1 lb. shredded Longhorn cheese"", ""1 large diced onion"", ""salsa pequin (if desired)""]"
Braised Beef Tips,"[""soy sauce"", ""shortening"", ""water"", ""red burgundy wine"", ""clove garlic"", ""cornstarch"", ""onion salt"", ""rice"", ""beef"", ""condensed beef""]","[""1 Tbsp. shortening"", ""2 lb. beef"", ""cut into cubes"", ""1 can condensed beef consomme"", ""1/3 c. red Burgundy wine or cranberry juice"", ""2 Tbsp. soy sauce"", ""1 clove garlic"", ""minced"", ""1/4 tsp. onion salt"", ""2 Tbsp. cornstarch"", ""1/4 c. water"", ""rice or noodles""]"
French Stew,"[""potatoes"", ""tomatoes"", ""pepper"", ""brown sugar"", ""beef consomme"", ""stew meat"", ""green beans"", ""onions"", ""carrots"", ""tapioca"", ""salt""]","[""3 lb. stew meat"", ""3 large carrots"", ""diced"", ""1 can small potatoes"", ""1 can onions"", ""1 can green beans"", ""1 (No. 2) can tomatoes"", ""1/2 can beef consomme"", ""4 Tbsp. Minute tapioca"", ""1 Tbsp. brown sugar"", ""1 1/2 Tbsp. salt"", ""pepper to taste""]"
Chicken Croquettes,"[""egg"", ""pepper"", ""bread crumbs"", ""onion"", ""flour"", ""poultry seasoning"", ""margarine"", ""parsley"", ""milk"", ""chicken"", ""salt""]","[""1 pt. cooked"", ""deboned and finely chopped chicken"", ""1/4 c. finely chopped onion"", ""1 egg"", ""1/4 stick margarine"", ""1/4 c. flour"", ""1 c. milk"", ""1/2 c. fine bread crumbs"", ""1 Tbsp. finely chopped parsley"", ""1 tsp. poultry seasoning"", ""1 tsp. salt or to your taste"", ""1/8 tsp. pepper (to your taste)""]"
Oyster Cracker Do,"[""oyster crackers"", ""valley dressing"", ""lemon pepper"", ""crisco oil"", ""garlic"", ""dill weed""]","[""3/4 c. Crisco oil"", ""1 tsp. dill weed"", ""1/4 tsp. lemon pepper"", ""sprinkle of garlic salt"", ""1 pkg. original Ranch valley dressing"", ""11 oz. pkg. oyster crackers""]"
Savory Grilled Potatoes,"[""miracle"", ""pepper"", ""onion"", ""paprika"", ""garlic"", ""baking potatoes"", ""salt""]","[""1/4 c. Miracle Whip salad dressing"", ""3 garlic cloves"", ""minced"", ""1/2 tsp. paprika"", ""1/4 tsp. salt"", ""1/4 tsp. pepper"", ""3 large baking potatoes"", ""cut into 1/4-inch slices"", ""1 large onion"", ""sliced""]"
Imitation Beef Stroganoff,"[""sour cream"", ""cream of mushroom soup"", ""onion"", ""mushrooms"", ""egg noodles"", ""hamburger""]","[""1 lb. hamburger"", ""1 can cream of mushroom soup"", ""1 (8 oz.) container sour cream"", ""1 medium onion"", ""1 small can mushrooms (optional)"", ""1 (12 oz.) pkg. egg noodles""]"
Spanish Rice(Serves 6)  ,"[""salt"", ""soy sauce"", ""mushrooms"", ""celery"", ""onions"", ""bean sprouts"", ""rice"", ""hamburg"", ""tomato sauce""]","[""1 1/2 lb. hamburg"", ""1 c. celery"", ""1 can bean sprouts"", ""1 qt. tomato sauce"", ""2 Tbsp. soy sauce"", ""1 c. uncooked rice"", ""1 c. onions"", ""1 c. mushrooms"", ""salt and pepper""]"
Tomato Vegetable Soup,"[""tomatoes"", ""black pepper"", ""onion"", ""water"", ""celery"", ""campbell's tomato soup"", ""tomato sauce"", ""chicken bouillon cubes"", ""garlic"", ""whole kernel corn"", ""zucchini"", ""salt""]","[""1 (28 oz.) can whole tomatoes"", ""chopped with juice"", ""1 (8 oz.) can Contadina tomato sauce"", ""4 cloves garlic"", ""minced"", ""1 tsp. salt"", ""2 medium zucchini"", ""sliced in quarter slices"", ""1 (10 1/2 oz.) can Campbell's tomato soup"", ""3 soup cans water"", ""1 medium onion"", ""chopped"", ""1 large rib celery"", ""chopped"", ""2 chicken bouillon cubes"", ""1/2 tsp. black pepper"", ""1 (16 oz.) whole kernel corn"", ""drained""]"
Kathy'S Lasagna,"[""egg"", ""tomatoes"", ""tomato paste"", ""pepper"", ""lasagna noodles"", ""parmesan cheese"", ""mozzarella cheese"", ""basil"", ""clove garlic"", ""parsley"", ""cottage cheese"", ""ground beef"", ""salt""]","[""1/2 lb. ground beef"", ""1/2 clove garlic"", ""minced"", ""1 1/2 Tbsp. chopped parsley"", ""1 1/2 Tbsp. basil"", ""3/4 tsp. salt"", ""1 c. tomatoes"", ""1 (6 oz.) can tomato paste"", ""1 (5 oz.) pkg. lasagna noodles"", ""1 (12 oz.) carton cottage cheese"", ""1 egg"", ""beaten"", ""1/2 tsp. salt"", ""1/4 tsp. pepper"", ""1 Tbsp. chopped parsley"", ""1/4 c. Parmesan cheese"", ""1/4 lb. Mozzarella cheese""]"
Koch Kase,"[""caraway seed"", ""soda"", ""flour"", ""cottage cheese"", ""butter"", ""salt""]","[""1 (16 oz.) carton small curd cottage cheese"", ""3 Tbsp. flour"", ""2 Tbsp. butter"", ""1 tsp. soda"", ""1/4 tsp. salt"", ""1/2 tsp. caraway seed""]"
Rice Broccoli Dish,"[""cream of chicken soup"", ""water chestnuts"", ""onion"", ""celery"", ""broccoli"", ""milk"", ""rice"", ""butter""]","[""1 c. uncooked Minute rice"", ""1 pkg. chopped broccoli"", ""thawed"", ""1 (12 oz.) can cream of chicken soup (condensed)"", ""1 c. milk"", ""3 Tbsp. butter or margarine"", ""1/2 c. onion"", ""chopped"", ""1/2 c. celery"", ""diced"", ""1 (8 oz.) jar Kraft Cheez Whiz"", ""1 can water chestnuts"", ""sliced""]"
Teresa'S Hush Puppy Recipe,"[""buttermilk"", ""eggs"", ""flour"", ""onions"", ""yellow self-rising""]","[""10 lb. yellow self-rising cornmeal"", ""1/2 gal. chopped onions"", ""1 doz. eggs"", ""1/2 c. self-rising flour"", ""1/2 gal. buttermilk""]"
Taco Burger,"[""rolls"", ""tomatoes"", ""taco seasoning"", ""cheese"", ""ground meat""]","[""1 lb. ground meat"", ""1 pkg. taco seasoning"", ""lettuce"", ""tomatoes"", ""rolls"", ""cheese""]"
Ground Beef And Vegetable Stew,"[""potatoes"", ""tomatoes"", ""pepper"", ""hot water"", ""green peppers"", ""lean ground beef"", ""onions"", ""garlic"", ""fresh basil"", ""salt""]","[""1 lb. lean ground beef"", ""2 medium onions"", ""peeled and quartered"", ""2 medium cloves garlic"", ""crushed"", ""1/2 c. hot water"", ""2 Tbsp. minced fresh basil or 1 tsp. dried"", ""1 1/2 tsp. salt"", ""1/4 tsp. pepper"", ""8 medium new potatoes with skin"", ""2 medium green peppers"", ""cut in eighths"", ""1 (1 lb.) can tomatoes"", ""drained and broken up""]"
Mayfair Salad,"[""fruit salad"", ""pineapple tidbits"", ""salad dressing"", ""green pepper""]","[""3 qt. torn assorted greens"", ""1 (13 1/2 oz.) can pineapple tidbits"", ""drained"", ""1/2 c. chopped green pepper"", ""lettuce"", ""1 (16 oz.) jar Kraft fruit salad"", ""drained"", ""French salad dressing""]"
Chili Sausage Bake,"[""pork sausage"", ""biscuit baking mix"", ""milk"", ""butter"", ""green chili""]","[""4 c. biscuit baking mix"", ""1/2 c. butter or margarine"", ""melted"", ""1 c. milk"", ""2 lb. pork sausage (hot or mild)"", ""1 1/2 to 2 c. chopped green chili"", ""toasted and peeled or canned""]"
Peach Crumble,"[""brown sugar"", ""cinnamon"", ""flour"", ""margarine"", ""peaches""]","[""1 large can peaches"", ""drained"", ""3/4 c. brown sugar"", ""1/2 c. flour"", ""1 1/2 tsp. cinnamon"", ""1/4 c. margarine""]"
Tomato Ham Soup,"[""tomato juice"", ""pepper"", ""macaroni"", ""ham bone""]","[""1 ham bone with meat or Cala ham piece"", ""2 c. macaroni (uncooked)"", ""pepper to taste"", ""1 (46 oz.) can tomato juice""]"
Super Squash Casserole,"[""cream of chicken soup"", ""sour cream"", ""dressing"", ""onions"", ""butter"", ""yellow squash"", ""salt""]","[""3 lb. yellow squash"", ""2 onions"", ""1/2 tsp. salt"", ""1 pt. sour cream"", ""2 cans cream of chicken soup"", ""1 stick butter"", ""1 pkg. Pepperidge Farm dressing""]"
Cheesy Green Bean Casserole,"[""tabasco sauce"", ""cheddar cheese"", ""onion"", ""green beans"", ""worcestershire sauce""]","[""2 cans green beans"", ""1 can Cheddar cheese or cream of mushroom soup"", ""plus 1 c. Velveeta cheese"", ""cubed"", ""1/2 Tbsp. Worcestershire sauce"", ""few drops Tabasco sauce"", ""1 medium onion"", ""diced and sauteed in 1/2 cube oleo""]"
Pasta Salad Surprise,"[""bacon"", ""onion"", ""mayonnaise"", ""veg-all"", ""parsley"", ""elbow macaroni"", ""salt""]","[""2 cans Veg-All mixed vegetables"", ""drained"", ""1 (7 oz.) pkg. elbow macaroni"", ""8 strips bacon"", ""fried crisp and crumbled"", ""1 (3 oz.) can Durkee French fried onion rings"", ""1 c. mayonnaise"", ""1/4 c. chopped parsley"", ""1 tsp. seasoned salt""]"
Sunday'S Deer Steak,"[""buck"", ""lots of ammo"", ""luck"", ""gun""]","[""1 gun"", ""lots of ammo"", ""a pinch of luck"", ""1 big buck""]"
Tuna Fish With Rice,"[""thin white sauce"", ""egg"", ""tuna"", ""paprika"", ""rice"", ""butter"", ""salt""]","[""1 c. rice"", ""1/2 tsp. salt"", ""1 c. thin white sauce"", ""1 egg"", ""well beaten"", ""1 Tbsp. butter"", ""1 c. shredded tuna"", ""paprika""]"
Italian Scallops,"[""oil"", ""scallops"", ""bread crumbs"", ""garlic"", ""butter"", ""olive oil""]","[""1/2 lb. scallops"", ""1 c. melted butter"", ""1/2 c. olive oil"", ""4 to 5 cloves crushed garlic"", ""bread crumbs"", ""oil for frying""]"
Easy Oven Meatballs,"[""spinach"", ""egg"", ""pepper"", ""onion"", ""garden style pasta sauce"", ""ground turkey"", ""rice"", ""bread crumbs"", ""salt""]","[""1 c. soft fine bread crumbs"", ""1 lb. ground turkey"", ""1 tsp. salt"", ""1 large egg"", ""4 servings cooked rice or spaghetti"", ""1 Tbsp. grated onion"", ""10 oz. frozen chopped spinach"", ""thawed and drained"", ""1/4 tsp. pepper"", ""30 oz. garden style pasta sauce""]"
Swedish Roasted Potatoes,"[""potatoes"", ""grated cheese"", ""water"", ""margarine"", ""beef flavor"", ""paprika"", ""salt""]","[""12 peeled potatoes"", ""1/2 c. margarine"", ""1/2 tsp. salt"", ""1 tsp. paprika"", ""2 tsp. beef flavor"", ""2 c. water"", ""3/4 c. grated cheese""]"
Kentucky Fried Chicken,"[""oleo"", ""oil"", ""italian dressing"", ""fryer parts"", ""black pepper"", ""lemon juice"", ""pancake mix"", ""flour"", ""sage"", ""milk"", ""paprika"", ""salt""]","[""3 lb. fryer parts"", ""2 pkg. Italian dressing"", ""3 Tbsp. flour"", ""2 tsp. salt"", ""1/4 c. lemon juice"", ""2 Tbsp. oleo"", ""1 pt. oil"", ""1 c. milk"", ""1 1/2 c. pancake mix*"", ""1 tsp. paprika"", ""1/2 tsp. sage"", ""1/4 tsp. black pepper""]"
Skillet Beef Stew,"[""soy sauce"", ""noodles"", ""mushrooms"", ""catsup"", ""cornstarch"", ""carrots"", ""onions"", ""beef flank steak""]","[""1/2 (12 oz.) pkg. medium noodles"", ""1 lb. beef flank steak"", ""cut in 1-inch cubes"", ""3 medium carrots"", ""sliced thin"", ""2 medium onions"", ""sliced thin"", ""1 (10 to 12 oz.) pkg. mushrooms"", ""cut in half"", ""2 Tbsp. Kikkoman soy sauce"", ""1 Tbsp. catsup"", ""1 1/2 tsp. cornstarch""]"
Picante Chicken,"[""tomato"", ""chicken breasts"", ""salt"", ""uncle ben"", ""onion"", ""salsa"", ""chicken broth"", ""garlic"", ""vegetable oil"", ""avocado""]","[""6 boneless chicken breasts"", ""3/4 c. onion"", ""coarsely chopped"", ""3 garlic cloves"", ""minced"", ""1 Tbsp. vegetable oil"", ""1 1/4 c. chicken broth"", ""1 c. medium salsa or picante sauce"", ""1 c. Uncle Ben's converted rice"", ""1 medium tomato"", ""chopped"", ""1/2 c. (2 oz.) shredded Cheddar or Monterey cheese"", ""1 ripe avocado"", ""peeled and sliced (optional)"", ""salt to taste""]"
Veal Chops Parmesan,"[""veal chops"", ""eggs"", ""parmesan cheese"", ""milk"", ""garlic"", ""bread crumbs"", ""salt""]","[""6 veal chops"", ""salt and pepper to taste"", ""garlic powder to taste"", ""1/2 c. bread crumbs"", ""1/2 c. Parmesan cheese"", ""2 eggs"", ""1/2 c. milk"", ""2 1/2 tsp. salt""]"
