Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
rickettsialpox,"['green olives', 'pepperoni', 'tomato sauce']","['salt', 'stewing/fryer chicken']","['high potassium', 'low cholesterol', 'low total fats']","['high carbohydrate', 'low calcium', 'low magnesium']"
chromophil adenoma of the kidney,"['garlic', 'marjoram']","['celery', 'cloves']","['high iron', 'low cholesterol']","['low fiber', 'low protein']"
achromatopsia 3,"['butter', 'eggs', 'white bread']","['oleo', 'sugar']","['high potassium', 'low carbohydrate', 'low cholesterol']","['high total fats', 'low vitamin c']"
tyrosinemia type II,['poke greens'],"['cinnamon', 'fresh baby carrots']","['high fiber', 'high potassium', 'low cholesterol']","['low calcium', 'low vitamin c']"
phthalic anhydride allergic asthma,"['eggs', 'pastry', 'salt']","['freshly ground pepper', 'green peppers', 'unsalted butter']","['high vitamin c', 'low calories']","['high sodium', 'low calcium', 'low iron']"
lung clear cell-sugar-tumor,"['egg whites', 'saffola oil']","['bacon', 'beans']","['high calcium', 'high magnesium']","['low iron', 'low potassium']"
vesiculitis,"['fryer', 'mushroom soup', 'onions']","['macaroni', 'onion', 'salt']","['high fiber', 'high potassium', 'low total fats']","['high cholesterol', 'high sodium', 'low protein']"
ocular albinism 1,"['black pepper', 'salt']","['muffins', 'oregano', 'parmesan cheese']","['high protein', 'low calories']","['high carbohydrate', 'high sodium', 'low potassium']"
pityriasis rubra pilaris,"['chicken', 'grape juice']","['brown sugar', 'nutmeg', 'pecan halves']","['high fiber', 'high potassium', 'low sodium']","['high carbohydrate', 'low calcium', 'low magnesium']"
hyperimmunoglobulin syndrome,"['chicken', 'mayonnaise', 'onion']","['mushrooms', 'philadelphia cream cheese', 'salt']","['high potassium', 'high vitamin c', 'low carbohydrate']","['high cholesterol', 'low protein']"
malignant fibrous histiocytoma of bone,"['cream', 'sage sausage', 'stalks celery']","['flour', 'fruit', 'water']","['high iron', 'low sodium']","['high total fats', 'low fiber']"
Her2-receptor negative breast cancer,"['bread crumbs', 'butter', 'parmesan cheese']","['boiling water', 'grits']","['high fiber', 'low carbohydrate', 'low total fats']","['high calories', 'high cholesterol', 'low protein']"
tricuspid atresia,"['pineapple', 'whipped cream', 'white rice']","['onion powder', 'thin strips zucchini']","['high magnesium', 'high protein', 'low calories']","['high cholesterol', 'low fiber']"
fumarase deficiency,"['onion', 'water']","['bell pepper', 'flour', 'tomatoes']","['high calcium', 'high protein']","['high calories', 'high sodium']"
Yunis-Varon syndrome,"['broccoli', 'chicken bouillon crystals', 'water']","['grated cheese', 'salt', 'tomato sauce']","['high calcium', 'high iron']","['high carbohydrate', 'low fiber']"
notochordal cancer,"['milk', 'oleo', 'saltines']","['cheddar cheese', 'dill pickles', 'flour']","['high potassium', 'low carbohydrate']","['high total fats', 'low fiber', 'low protein']"
mild cognitive impairment,"['cream of chicken soup', 'frozen broccoli']","['salt', 'sugar', 'yeast']","['high protein', 'high vitamin c', 'low total fats']","['low fiber', 'low magnesium']"
multiple intestinal atresia,"['chicken', 'fresh parsley', 'pepper']","['catsup', 'clove garlic']","['high calcium', 'high fiber', 'high iron']","['high total fats', 'low vitamin c']"
breast benign neoplasm,"['capers', 'eggplant', 'tomato sauce']","['carrots', 'garlic']","['high vitamin c', 'low calories', 'low cholesterol']","['low calcium', 'low magnesium']"
mediastinum leiomyoma,"['sweet onion', 'white vinegar']","['broccoli', 'cream of mushroom soup', 'onion']","['high fiber', 'high iron', 'high potassium']","['high sodium', 'low calcium', 'low magnesium']"
cascade stomach,"['milk', 'salmon']","['cheddar cheese', 'red pepper']","['high potassium', 'low total fats']","['low iron', 'low magnesium']"
X-linked monogenic disease,"['cheddar cheese', 'flour']","['sugar', 'vinegar']","['low carbohydrate', 'low sodium', 'low total fats']","['low magnesium', 'low protein']"
familial hyperinsulinemic hypoglycemia 1,"['butter', 'clams', 'clove garlic']","['carrots', 'potatoes']","['high calcium', 'high protein', 'low total fats']","['high cholesterol', 'low magnesium']"
conjunctival deposit,"['salt', 'tomato soup']","['celery', 'garlic', 'margarine']","['high potassium', 'low cholesterol', 'low sodium']","['low fiber', 'low protein']"
Sandhoff disease,"['angel', 'cherry pie filling']","['liquid smoke', 'onion powder']","['high calcium', 'low cholesterol']","['high carbohydrate', 'low fiber', 'low protein']"
lepromatous leprosy,"['onion', 'tomatoes']","['eggs', 'oil', 'oregano']","['high calcium', 'high iron', 'low cholesterol']","['high calories', 'low fiber', 'low potassium']"
autosomal recessive intellectual developmental disorder 68,"['chicken', 'onion']","['pepper', 'worcestershire sauce']","['high protein', 'low total fats']","['high cholesterol', 'low calcium', 'low magnesium']"
Wissler-Fanconi syndrome,"['butter', 'mustard', 'pepper']","['celery', 'pepper', 'shrimp']","['high iron', 'high magnesium']","['high cholesterol', 'low vitamin c']"
atypical Gaucher's disease due to saposin c deficiency,"['marshmallows', 'pistachio pudding']","['flour', 'milk']","['high potassium', 'low total fats']","['high calories', 'high sodium']"
tinea pedis,"['basil', 'salt']","['frozen hash brown potatoes', 'salt']","['high fiber', 'high potassium', 'low sodium']","['high calories', 'low magnesium', 'low protein']"
papillary craniopharyngioma,"['cabbage', 'onion']","['muffins', 'salt', 'sharp cheese']","['high calcium', 'low calories']","['high carbohydrate', 'low fiber']"
Ruijs-Aalfs syndrome,"['cauliflower', 'green olives']","['soy sauce', 'white wine']","['high fiber', 'low sodium', 'low total fats']","['low iron', 'low magnesium', 'low potassium']"
acute vascular insufficiency of intestine,"['heavy cream', 'onion', 'white wine']","['chili', 'tomatoes']","['high calcium', 'high iron', 'low total fats']","['high calories', 'high cholesterol']"
diencephalic neoplasm,"['brown sugar', 'cloves', 'whole cloves']","['maple', 'mushrooms', 'worcestershire sauce']","['high protein', 'low carbohydrate', 'low total fats']","['low calcium', 'low magnesium', 'low potassium']"
immunodeficiency 31C,"['cream cheese', 'hot mashed potatoes', 'tomato']","['salt', 'sugar']","['high protein', 'low calories']","['high sodium', 'low calcium', 'low magnesium']"
primary biliary cholangitis 4,"['milk', 'potatoes']","['bacon', 'chicken bouillon cubes', 'margarine']","['low carbohydrate', 'low total fats']","['high sodium', 'low calcium', 'low potassium']"
chromosome 10q23 deletion syndrome,"['rice', 'soy sauce', 'worcestershire sauce']","['celery soup', 'onion']","['high iron', 'low carbohydrate']","['low potassium', 'low protein']"
Parkinsonism,"['dill weed', 'oil', 'zucchini']","['catsup', 'hamburger', 'water']","['high fiber', 'high magnesium', 'high vitamin c']","['high total fats', 'low iron', 'low protein']"
primary progressive multiple sclerosis,"['cold water', 'cranberry juice', 'frozen lime']","['olive oil', 'pepper', 'pork chops']","['high fiber', 'high magnesium', 'low calories']","['high total fats', 'low iron']"
autosomal dominant keratitis-ichthyosis-deafness syndrome,"['green apples', 'salt', 'water']","['butter beans', 'kidney beans', 'taco']","['high iron', 'high protein']","['low magnesium', 'low vitamin c']"
cataract 7,"['onion', 'pork chops']","['mustard', 'vinegar']","['high fiber', 'high protein', 'low calories']","['low calcium', 'low vitamin c']"
Galloway-Mowat syndrome 1,"['brown sugar', 'peanut butter', 'salt']","['cabbage', 'vinegar']","['high magnesium', 'high potassium', 'high protein']","['high carbohydrate', 'low vitamin c']"
neurooculocardiogenitourinary syndrome,"['beef chuck', 'salad olives', 'tomatoes']","['apple', 'caraway seeds', 'sauerkraut']","['high potassium', 'low carbohydrate', 'low total fats']","['low calcium', 'low fiber']"
skin carcinoma,"['eggs', 'honey']","['brown gravy', 'lean ground beef', 'pepper']","['high fiber', 'high vitamin c']","['high calories', 'high carbohydrate', 'high total fats']"
lung adenoid cystic carcinoma,"['onion', 'pork', 'sauerkraut']","['catsup', 'mustard']","['high potassium', 'high vitamin c']","['high carbohydrate', 'low calcium', 'low fiber']"
acral lentiginous melanoma,"['bread crumbs', 'cheddar cheese', 'ground beef']","['salt', 'sherry']","['high fiber', 'high potassium']","['high cholesterol', 'low calcium', 'low iron']"
gastric pylorus carcinoma,"['ground beef', 'pepper']","['butter', 'mushrooms', 'onion']","['high fiber', 'high potassium', 'low total fats']","['high cholesterol', 'low calcium']"
short-rib thoracic dysplasia 13 with or without polydactyly,"['almonds', 'white pepper']","['bell pepper', 'paprika']","['high magnesium', 'low carbohydrate']","['low protein', 'low vitamin c']"
thrombotic thrombocytopenic purpura,"['butter', 'frozen peas', 'shrimp']","['chicken broth', 'thyme']","['high iron', 'low carbohydrate', 'low sodium']","['high calories', 'low potassium', 'low vitamin c']"
superficial keratitis,"['eggs', 'pepper', 'tomatoes']","['catsup', 'mustard', 'vegetable soup']","['high fiber', 'low carbohydrate', 'low cholesterol']","['low calcium', 'low iron', 'low protein']"
nutrition disease,"['shredded mozzarella', 'water']","['mayonnaise', 'mixed vegetables']","['low cholesterol', 'low sodium']","['high carbohydrate', 'low magnesium']"
Fraser syndrome 3,"['onion', 'sage', 'salt']","['eggs', 'flour', 'frozen cauliflower']","['high magnesium', 'high vitamin c']","['high calories', 'high cholesterol', 'high total fats']"
membranous glomerulonephritis,"['garlic powder', 'sausage', 'sour cream']","['chicken breasts', 'chili powder']","['high fiber', 'high potassium', 'high protein']","['high carbohydrate', 'high cholesterol', 'high total fats']"
mucinoses,"['black pepper', 'ketchup', 'tomato sauce']","['beef broth', 'flour', 'onions']","['high fiber', 'high iron', 'low cholesterol']","['high calories', 'low vitamin c']"
spinocerebellar ataxia type 13,"['butter', 'tomatoes']","['brown sugar', 'water']","['high protein', 'low carbohydrate', 'low cholesterol']","['low fiber', 'low iron', 'low magnesium']"
Goldberg-Shprintzen syndrome,"['brown sugar', 'kielbasa']","['biscuit mix', 'eggs', 'parmesan cheese']","['high vitamin c', 'low sodium']","['high carbohydrate', 'high total fats', 'low protein']"
well-differentiated liposarcoma,"['butter', 'noodles', 'parmesan cheese']","['carrots', 'potatoes', 'stalks celery']","['high calcium', 'high fiber', 'high protein']","['high carbohydrate', 'high sodium', 'low vitamin c']"
arrhythmogenic right ventricular dysplasia 3,"['chili sauce', 'eggs']","['chili powder', 'egg']","['high potassium', 'low sodium']","['high cholesterol', 'low magnesium']"
autosomal dominant nonsyndromic deafness 51,"['lemon juice', 'parmesan cheese', 'sherry']","['salt', 'scallions']","['high calcium', 'high magnesium', 'high potassium']","['high total fats', 'low iron', 'low protein']"
congenital nervous system abnormality,"['broccoli', 'vinegar']","['garlic', 'oil', 'parmesan cheese']","['high calcium', 'high magnesium', 'high vitamin c']","['high calories', 'low potassium']"
cardiac granular cell neoplasm,"['butter', 'chicken']","['nuts', 'raisins']","['high fiber', 'low sodium']","['high calories', 'low vitamin c']"
platelet-type bleeding disorder 14,"['potatoes', 'soybean oil']","['eggs', 'flour']","['high iron', 'low sodium']","['low calcium', 'low vitamin c']"
primary ciliary dyskinesia 33,"['crawfish tails', 'cream of mushroom soup', 'onion']","['onions', 'tomatoes']","['high vitamin c', 'low total fats']","['high calories', 'low magnesium', 'low potassium']"
long QT syndrome 1,"['cucumbers', 'onions', 'radishes']","['egg', 'mushroom soup']","['high calcium', 'high potassium']","['high calories', 'high carbohydrate', 'high cholesterol']"
Brown-Vialetto-Van Laere syndrome 2,"['bread crumbs', 'oregano']","['buttermilk', 'cheddar cheese', 'egg whites']","['high calcium', 'high protein']","['high calories', 'low magnesium']"
non-syndromic X-linked intellectual disability 20,"['margarine', 'salt']","['onion', 'sour cream']","['high iron', 'high vitamin c']","['high calories', 'high carbohydrate', 'low magnesium']"
parasitic protozoa infectious disease,"['rice', 'salt']","['basil', 'carrots', 'cheddar cheese']","['high vitamin c', 'low carbohydrate']","['high total fats', 'low potassium', 'low protein']"
autoimmune disease of cardiovascular system,"['green pepper', 'sherry wine', 'turkey']","['bread', 'favorite jelly', 'pancake mix']","['high magnesium', 'low sodium']","['high calories', 'low iron', 'low protein']"
familial woolly hair syndrome,"['parmesan', 'whole wheat bread crumbs']","['carrots', 'pepper']","['high magnesium', 'high vitamin c']","['high cholesterol', 'low fiber', 'low iron']"
tibial nerve palsy,"['chicken breast', 'parsley']","['graham cracker crumbs', 'marshmallow cream', 'peanut butter']","['low cholesterol', 'low sodium', 'low total fats']","['low magnesium', 'low protein', 'low vitamin c']"
keratoconus,"['favorite barbecue sauce', 'water']","['chicken breasts', 'cream of mushroom soup']","['high potassium', 'low cholesterol']","['high calories', 'low fiber', 'low magnesium']"
Burkitt lymphoma,"['ground comino', 'ground turmeric', 'potatoes']","['cheddar cheese', 'egg', 'hash browns']","['high magnesium', 'high protein']","['high calories', 'low iron']"
macular degeneration,"['boneless beef chuck', 'onions', 'salt']","['bell pepper', 'garlic', 'onions']","['high magnesium', 'high vitamin c']","['low calcium', 'low fiber']"
anosognosia,"['flour', 'fluid', 'salt']","['consomme', 'onion']","['high protein', 'low total fats']","['high calories', 'high carbohydrate', 'low potassium']"
familial atrial fibrillation,"['cream of chicken soup', 'flour tortillas']","['bread', 'milk']","['high potassium', 'low carbohydrate']","['high sodium', 'low calcium', 'low iron']"
"46,XY sex reversal 1","['fresh mint', 'pita bread', 'quartered cherry tomatoes']","['bread crumbs', 'egg']","['high magnesium', 'low calories', 'low cholesterol']","['high total fats', 'low protein']"
combined cellular and humoral immune defects with granulomas,"['cream of chicken soup', 'milk', 'pimento']","['mustard', 'salt']","['high potassium', 'high vitamin c']","['high cholesterol', 'high sodium', 'low calcium']"
severe congenital neutropenia 4,"['oregano', 'parmesan cheese']","['clove garlic', 'ketchup', 'onion']","['high magnesium', 'high vitamin c', 'low sodium']","['high calories', 'low potassium']"
inflammatory bowel disease 30,"['lamb shoulder', 'salt', 'vegetable oil']","['velveeta cheese', 'water']","['high fiber', 'high magnesium', 'low cholesterol']","['high calories', 'low iron']"
migraine without aura,"['chicken', 'mayonnaise']","['fish crackers', 'food coloring', 'graham cracker sheet']","['high calcium', 'high fiber', 'high potassium']","['low iron', 'low magnesium', 'low protein']"
uterine ligament adenocarcinoma,"['bacon', 'beans', 'cheddar cheese']","['butter', 'clove garlic', 'rice']","['high fiber', 'high magnesium', 'high vitamin c']","['low calcium', 'low protein']"
alcuronium bromide allergy,"['green pepper', 'mayo', 'tomatoes']","['butter bread crumbs', 'chicken', 'egg noodles']","['high potassium', 'high vitamin c', 'low total fats']","['high carbohydrate', 'high cholesterol', 'high sodium']"
chronic atticoantral disease,"['mayonnaise', 'vidalia onions']","['bacon', 'dill weed', 'seasoning salt']","['high iron', 'low calories']","['high sodium', 'low calcium', 'low fiber']"
tuberculous empyema,"['fresh green beans', 'garlic', 'salt']","[""campbell's cream"", 'onion', 'pork chops']","['high calcium', 'high protein']","['low iron', 'low magnesium', 'low potassium']"
cone-rod dystrophy 1,"['broccoli', 'onion', 'potatoes']","['beef broth', 'soy sauce', 'vegetables']","['high calcium', 'low calories']","['high carbohydrate', 'low iron', 'low magnesium']"
hypertrophic cardiomyopathy 14,"['parsley flakes', 'pepper']","['bread', 'cheddar cheese']","['high calcium', 'high fiber', 'low cholesterol']","['high calories', 'high sodium', 'low potassium']"
hypertrophic cardiomyopathy,"['baking powder', 'butter', 'lemon juice']","['chili powder', 'tomatoes', 'water']","['high vitamin c', 'low cholesterol']","['high carbohydrate', 'low fiber']"
acquired tear duct stenosis,"['mushroom gravy mix', 'sirloin', 'water']","['chocolate curls', 'whipped cream']","['low carbohydrate', 'low cholesterol']","['high calories', 'low calcium', 'low vitamin c']"
bile duct carcinoma,"['beans', 'thyme']","['pepper', 'salt']","['low calories', 'low cholesterol']","['low iron', 'low vitamin c']"
familial thyroid dyshormonogenesis,"['buttered bread crumbs', 'potatoes', 'salt']","['butter', 'potatoes', 'salt']","['high iron', 'high vitamin c', 'low carbohydrate']","['high calories', 'low fiber']"
autosomal dominant intellectual developmental disorder 33,"['cream cheese', 'cream of tomato soup']","['hamburger', 'velveeta cheese']","['high iron', 'high magnesium', 'low carbohydrate']","['low calcium', 'low fiber', 'low potassium']"
dermatosis papulosa nigra,"['grated cheese', 'sugar', 'water']","['bananas', 'marshmallows', 'pineapple']","['high protein', 'low carbohydrate']","['high cholesterol', 'low potassium']"
primary progressive aphasia,"['butter', 'potatoes']","['celery', 'green onion']","['high calcium', 'low sodium', 'low total fats']","['high calories', 'low iron']"
ovarian seromucinous carcinoma,"['ground cumin', 'onions']","['frozen italian', 'lean beef']","['high iron', 'high protein', 'low calories']","['high cholesterol', 'high sodium', 'low potassium']"
developmental and epileptic encephalopathy 94,"['olive oil', 'potato']","['george washington', 'liquid', 'mushroom soup']","['high magnesium', 'high potassium', 'low sodium']","['high carbohydrate', 'low calcium', 'low vitamin c']"
Waardenburg syndrome type 2A,"['beans', 'brown sugar', 'catsup']","['margarine', 'onion', 'sour cream']","['high iron', 'high magnesium', 'low total fats']","['high cholesterol', 'low protein']"
non-Langerhans-cell histiocytosis,"['graham crackers', 'milk', 'vanilla']","['green pepper', 'onion']","['high potassium', 'high vitamin c', 'low calories']","['low iron', 'low protein']"
Silo filler's disease,"['raisins', 'slivered almonds', 'sugar']","['onion', 'potatoes', 'sauerkraut']","['low carbohydrate', 'low sodium']","['high cholesterol', 'low calcium', 'low magnesium']"
neuronal ceroid lipofuscinosis 4,"['fresh spinach trenette pasta', 'mushrooms', 'parmesan cheese']","['morton tender quick', 'water']","['high protein', 'low calories']","['high cholesterol', 'low iron', 'low potassium']"
Bothnian type palmoplantar keratoderma,"['butter', 'garlic']","['green peppers', 'salt', 'tomatoes']","['high protein', 'high vitamin c', 'low calories']","['high carbohydrate', 'low fiber', 'low magnesium']"
ataxia with oculomotor apraxia type 3,"['chicken', 'green pepper']","['pie crust', 'red pepper', 'tomato juice']","['high fiber', 'high iron', 'high magnesium']","['high carbohydrate', 'high total fats']"
multiple system atrophy,"['cream of mushroom soup', 'onion soup']","['oil', 'salt']","['high potassium', 'high protein', 'low cholesterol']","['high carbohydrate', 'high total fats']"
follicular thyroid carcinoma,"['butter', 'lemon juice', 'salt']","['crab meat', 'meal tortillas', 'pet milk']","['high potassium', 'low cholesterol']","['high carbohydrate', 'low iron', 'low magnesium']"
mulibrey nanism,"['green onion', 'parmesan cheese', 'pepper']","['black olives', 'cheddar cheese', 'onion']","['high calcium', 'high potassium', 'high vitamin c']","['high cholesterol', 'high total fats', 'low iron']"
oral hairy leukoplakia,"['bell pepper', 'pack carrots', 'salt']","['cheddar cheese', 'chili seasoning mix', 'pinto beans']","['high fiber', 'low cholesterol', 'low total fats']","['high carbohydrate', 'low calcium']"
Usher syndrome type 2A,"['cream of mushroom soup', 'milk', 'salt']","['flank steak', 'mushrooms', 'worcestershire sauce']","['high iron', 'low cholesterol']","['high calories', 'low calcium']"
uterine corpus myxoid leiomyosarcoma,"['butter', 'salt']","['deer meat', 'soy sauce', 'worcestershire']","['high vitamin c', 'low total fats']","['low calcium', 'low magnesium']"
congenital nonspherocytic hemolytic anemia 8,"['bread crumbs', 'parsley flakes']","['green beans', 'ham']","['high magnesium', 'high potassium', 'low sodium']","['low fiber', 'low vitamin c']"
short QT syndrome,"['cream of mushroom soup', 'fresh broccoli', 'stuffing']","['cream of mushroom soup', 'flour']","['high protein', 'low calories']","['low fiber', 'low magnesium']"
spermatogenic failure 62,"['lean venison', 'salt']","['ham chunks', 'milk']","['high magnesium', 'low carbohydrate']","['high calories', 'low iron', 'low vitamin c']"
hypersecretion glaucoma,"['cream of mushroom soup', 'mushrooms']","['butter', 'cinnamon']","['high magnesium', 'low calories']","['high total fats', 'low fiber', 'low potassium']"
alveolar echinococcosis,"['corn chips', 'ground beef', 'taco seasoning']","['alaga syrup', 'garlic powder', 'ground red pepper']","['high fiber', 'high magnesium']","['high calories', 'high carbohydrate', 'high cholesterol']"
cycloplegia,"['grated cheese', 'ranch style red beans', 'tomato']","['orange liqueur', 'sugar']","['high calcium', 'high protein', 'high vitamin c']","['high calories', 'high total fats', 'low magnesium']"
cherry allergy,"['cream of mushroom soup', 'long grain', 'salt']","['garlic powder', 'mozzarella', 'parmesan cheese']","['high magnesium', 'low total fats']","['high calories', 'high carbohydrate']"
hydrops of gallbladder,"['green', 'stalks celery']","['all-purpose flour', 'double-acting baking powder', 'salt']","['high iron', 'high vitamin c']","['high carbohydrate', 'low magnesium', 'low potassium']"
anterior segment dysgenesis 5,"['clove garlic', 'moose shoulder', 'shoots']","['cherrystone clams', 'pepper']","['high fiber', 'high iron', 'high potassium']","['high carbohydrate', 'high sodium']"
retinitis pigmentosa 11,"['green pepper', 'ham hock', 'potatoes']","['fresh spinach', 'salt']","['low calories', 'low sodium']","['high total fats', 'low fiber']"
lung combined type small cell carcinoma,"['onion soup', 'water']","['cabbage', 'fresh vegetables', 'vegetables']","['high vitamin c', 'low calories']","['low calcium', 'low potassium']"
Rh deficiency syndrome,"['accent', 'peas optional']","['carrots', 'onions']","['high protein', 'high vitamin c', 'low sodium']","['high calories', 'high carbohydrate']"
autosomal dominant intellectual developmental disorder 70,"['flour', 'margarine']","['peach halves', 'sugar', 'whole cloves']","['high fiber', 'low carbohydrate']","['high cholesterol', 'low calcium']"
papillary extrahepatic bile duct adenocarcinoma,"['all-purpose', 'milk', 'salt']","['green peppers', 'hot italian sausage', 'salt']","['high vitamin c', 'low cholesterol']","['low calcium', 'low iron']"
multiple epiphyseal dysplasia 7,"['chives', 'parsley']","['cabbage', 'sesame seeds']","['high fiber', 'high potassium', 'low cholesterol']","['low protein', 'low vitamin c']"
neurofibroma of the esophagus,"['cabbage', 'onion', 'salt']","['jello', 'pecans']","['high calcium', 'high potassium']","['low protein', 'low vitamin c']"
Alagille syndrome,"['brown sugar', 'turkey breast tenderloins']","['chili powder', 'margarine']","['high calcium', 'low cholesterol', 'low total fats']","['high calories', 'low potassium', 'low vitamin c']"
Beemer-Langer syndrome,"['rice', 'shrimp']","['oil', 'oregano', 'salt']","['high protein', 'high vitamin c', 'low cholesterol']","['high total fats', 'low iron']"
bone disease,"['carrots', 'onions', 'water']","['bacon', 'milk']","['high protein', 'low calories']","['high total fats', 'low potassium']"
functionless pituitary adenoma,"['butter', 'grated cheese', 'ground pepper']","['cheddar cheese', 'flour tortillas']","['high magnesium', 'low carbohydrate']","['high sodium', 'high total fats', 'low vitamin c']"
chromosome 8q21.11 deletion syndrome,"['pork chops', 'potatoes']","['butter', 'cheddar cheese']","['high magnesium', 'high vitamin c']","['low potassium', 'low protein']"
primary biliary cholangitis 2,"['eggs', 'salt']","['frozen macaroni', 'mustard', 'vienna sausage']","['high fiber', 'high iron', 'low total fats']","['high carbohydrate', 'low calcium', 'low vitamin c']"
glomangiosarcoma,"['cream of mushroom soup', 'macaroni', 'pimento']","['bacon', 'carrots']","['high potassium', 'low sodium']","['high calories', 'high carbohydrate', 'low fiber']"
cryptophthalmia,"[""'s seasoning"", 'carrots']","['chicken bouillon', 'flour', 'sherry']","['high potassium', 'high protein', 'low sodium']","['high carbohydrate', 'low magnesium', 'low vitamin c']"
hypervitaminosis D,"['chicken', 'chicken broth', 'poultry seasoning']","['celery salt', 'green pepper', 'vinegar']","['high fiber', 'high vitamin c', 'low calories']","['high sodium', 'low calcium', 'low iron']"
adamantinoma,"['frozen vegetables', 'water']","['flour', 'onion', 'salt']","['high vitamin c', 'low carbohydrate', 'low cholesterol']","['low calcium', 'low protein']"
peroxisome biogenesis disorder 2A,"['chicken breasts', 'pepper', 'tarragon']","['pepper', 'vegetable oil']","['high iron', 'low carbohydrate']","['high calories', 'low magnesium']"
Charcot-Marie-Tooth disease axonal type 2C,"['cream cheese', 'onion salt']","['apricot nectar', 'lemon juice']","['high protein', 'low cholesterol']","['low fiber', 'low magnesium']"
autosomal dominant nonsyndromic deafness 9,"['dijon mustard', 'ham steak', 'honey']","['eggs', 'margarine']","['high fiber', 'low calories', 'low carbohydrate']","['high cholesterol', 'low calcium', 'low magnesium']"
chromosome 2p16.1-p15 deletion syndrome,"['ground round', 'rice']","['onion', 'water']","['high fiber', 'low calories']","['low calcium', 'low vitamin c']"
Meier-Gorlin syndrome 3,"['butter', 'flour']","['chicken', 'eggs', 'lemon juice']","['high fiber', 'high magnesium', 'high protein']","['high cholesterol', 'low iron', 'low potassium']"
craniosynostosis 2,"['mixed vegetables', 'tomato soup']","['light corn syrup', 'white vinegar']","['high magnesium', 'low calories']","['low calcium', 'low vitamin c']"
vaginal squamous tumor,"['cream of mushroom soup', 'rice']","['green pepper', 'peas', 'sugar']","['high calcium', 'low cholesterol']","['high carbohydrate', 'low iron']"
Joubert syndrome 10,"['box mostaccioli', 'garlic powder', 'onion']","['baby red', 'olive oil']","['high iron', 'high potassium', 'low calories']","['high total fats', 'low calcium']"
autosomal recessive nonsyndromic deafness 36,"['ground chuck', 'salsa']","['onions', 'salt']","['high potassium', 'high vitamin c']","['high calories', 'low protein']"
ulceroglandular tularemia,"['basil', 'lasagna noodles', 'oregano']","['bread crumbs', 'cream of mushroom soup', 'milk']","['high calcium', 'high iron']","['high carbohydrate', 'low magnesium', 'low vitamin c']"
primary ovarian insufficiency 5,"['basil', 'tomatoes', 'zucchini']","['bread crumbs', 'milk', 'spaghetti sauce']","['high protein', 'low cholesterol']","['high calories', 'high sodium', 'high total fats']"
erythrokeratodermia variabilis et progressiva 1,"['condensed mushroom soup', 'salt', 'steak sauce']","['flour', 'soy sauce']","['high iron', 'low cholesterol']","['high total fats', 'low potassium', 'low vitamin c']"
MERRF syndrome,"['brown sugar', 'onion', 'worcestershire sauce']","['crab meat', 'dry mustard']","['high calcium', 'low cholesterol', 'low total fats']","['high sodium', 'low iron', 'low potassium']"
connective tissue disease,"['celery soup', 'mayonnaise', 'onion']","['cream of mushroom soup', 'taco seasoning']","['high calcium', 'low carbohydrate', 'low sodium']","['high cholesterol', 'low magnesium', 'low protein']"
cholera,"['green onion', 'pepper', 'water']","['butter', 'lemon-pepper seasoning']","['high iron', 'high protein']","['low magnesium', 'low vitamin c']"
neurotic disorder,"['green peppers', 'onions', 'tomatoes']","['drops of hot sauce', 'lemon juice', 'oregano']","['high magnesium', 'low cholesterol']","['low fiber', 'low iron', 'low vitamin c']"
mature gastric teratoma,"['chicken', 'cream of chicken soup', 'soy sauce']","['butter', 'cayenne pepper', 'chicken breasts']","['high protein', 'low calories', 'low sodium']","['high cholesterol', 'low calcium', 'low vitamin c']"
"myopathy, lactic acidosis, and sideroblastic anemia 1","['accent', 'celery', 'grated cheese']","['chicken broth', 'rice', 'thyme']","['high iron', 'high protein', 'low cholesterol']","['high total fats', 'low calcium', 'low potassium']"
brachydactyly,"['bacon', 'celery', 'tomatoes']","['parsley', 'pepper', 'vegetable cooking spray']","['high vitamin c', 'low calories']","['high cholesterol', 'high sodium', 'low iron']"
childhood hypophosphatasia,"['pepper', 'potatoes', 'salt']","['italian seasoned tomatoes', 'water']","['high iron', 'high protein']","['high calories', 'low magnesium', 'low potassium']"
hypothalamic neoplasm,"['cooking oil', 'milk']","['onion', 'potatoes', 'velveeta cheese']","['high fiber', 'high magnesium', 'low sodium']","['high calories', 'low protein']"
spastic ataxia 1,"['cheddar cheese', 'cream cheese']","['green beans', 'salt']","['high fiber', 'high iron']","['high sodium', 'low protein', 'low vitamin c']"
Bryant-Li-Bhoj neurodevelopmental syndrome 2,"['onion soup', 'tomatoes']","['beans', 'mustard']","['high iron', 'high magnesium']","['low fiber', 'low vitamin c']"
childhood acute lymphocytic leukemia,"['dry mustard', 'vegetable oil']","['egg substitute', 'milk', 'onion']","['high potassium', 'high protein']","['high carbohydrate', 'high cholesterol', 'low fiber']"
monocular esotropia,"['shredded cheese', 'tomatoes']","['butter', 'honey']","['high potassium', 'low calories']","['low fiber', 'low iron', 'low vitamin c']"
chronic frontal sinusitis,"['alum', 'salt']","['milk', 'white onion']","['high magnesium', 'high protein', 'low total fats']","['high carbohydrate', 'high cholesterol']"
